0: ['訂單編號', '顧客姓名', '會員編號', 'e-mail', '聯絡電話', '書籍名稱', '購買金額（元）', '購買日期']
1: ['ORD-2026-0001', '張冠宇', 'MBR-46048', 'user350@yahoo.com.tw', '0927-854-204', '持續買進：資料科學家的投資百寶箱', '420', '2026-01-23']
2: ['ORD-2026-0002', '賴佩珊', 'MBR-14165', 'user130@gmail.com', '0937-338-617', '三體全集（套書）', '1200', '2026-01-07']
3: ['ORD-2026-0003', '廖雅琪', 'MBR-95181', 'user818@outlook.com', '0963-325-559', '莫斯科紳士', '450', '2026-03-13']
4: ['ORD-2026-0004', '陳雅婷', 'MBR-65392', 'user448@hotmail.com', '0929-320-881', '納瓦爾寶典：從白手起家到財務自由', '420', '2026-01-27']
5: ['ORD-2026-0005', '黃家瑋', 'MBR-22676', 'user467@hotmail.com', '0987-370-926', '被討厭的勇氣：自我啟發之父「阿德勒」的教導', '320', '2026-07-06']
6: ['ORD-2026-0006', '洪孟儒', 'MBR-26361', 'user487@gmail.com', '0980-400-949', '三體全集（套書）', '1200', '2026-04-03']
7: ['ORD-2026-0007', '賴雅琪', 'MBR-19116', 'user146@yahoo.com.tw', '0947-181-975', '系統架構設計與微服務實踐', '850', '2026-01-26']
8: ['ORD-2026-0008', '謝詩婷', 'MBR-69429', 'user750@hotmail.com', '0930-479-463', '深度學習：從基礎理論到 PyTorch 實作', '780', '2026-06-21']
9: ['ORD-2026-0009', '蔡家豪', 'MBR-89840', 'user750@yahoo.com.tw', '0978-846-350', 'Python 資料分析實戰聖經', '680', '2026-04-29']
10: ['ORD-2026-0010', '謝詩婷', 'MBR-93886', 'user804@outlook.com', '0938-801-432', '被討厭的勇氣：自我啟發之父「阿德勒」的教導', '320', '2026-02-28']
11: ['ORD-2026-0011', '林柏翰', 'MBR-62581', 'user374@gmail.com', '0937-680-997', '納瓦爾寶典：從白手起家到財務自由', '420', '2026-02-24']
12: ['ORD-2026-0012', '邱家瑋', 'MBR-94259', 'user569@yahoo.com.tw', '0943-242-352', '持續買進：資料科學家的投資百寶箱', '420', '2026-05-18']
13: ['ORD-2026-0013', '蔡品妤', 'MBR-66155', 'user697@icloud.com', '0956-324-241', '快思慢想與商業決策', '460', '2026-05-07']
14: ['ORD-2026-0014', '黃宗翰', 'MBR-24371', 'user256@yahoo.com.tw', '0997-532-710', '投資最重要的事：頂尖價值投資者切實履行的核心法則', '450', '2026-04-09']
15: ['ORD-2026-0015', '謝郁婷', 'MBR-71348', 'user641@hotmail.com', '0980-981-111', '富爸爸，窮爸爸', '360', '2026-06-24']
16: ['ORD-2026-0016', '廖詩婷', 'MBR-94012', 'user448@gmail.com', '0947-545-261', '情緒勒索：建立良好的自我價值感', '330', '2026-01-01']
17: ['ORD-2026-0017', '蔡佳穎', 'MBR-33416', 'user619@gmail.com', '0990-405-961', '快思慢想與商業決策', '460', '2026-06-05']
